,month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,mean_temp,wet_bulb_temperature,date,year,specialist outpatient clinics,accident & emergency departments,polyclinics
213,10,25.3,13,125.6,83.9,5.0,27.8,25.573387096774194,2004-10-01,2004,275466,54424,330511
214,11,62.4,15,166.2,86.1,5.8,27.3,25.41375,2004-11-01,2004,273147,52621,311036
215,12,36.4,14,139.8,85.2,4.9,26.8,24.87244623655914,2004-12-01,2004,286503,54404,326902
216,1,96.7,8,163.2,83.3,6.5,26.6,24.395967741935483,2005-01-01,2005,287440,55854,323025
217,2,7.2,3,8.4,77.7,9.1,28.5,25.330357142857142,2005-02-01,2005,241306,50234,277987
218,3,20.5,12,82.4,80.3,7.2,28.5,25.70577956989247,2005-03-01,2005,306941,52216,343389
219,4,49.6,10,81.7,81.0,7.0,28.7,26.036805555555553,2005-04-01,2005,286922,52127,340620
220,5,58.7,20,331.1,84.6,5.5,28.5,26.366532258064513,2005-05-01,2005,280697,55795,315280
221,6,27.6,15,82.3,82.7,5.4,28.8,26.405694444444446,2005-06-01,2005,294458,55388,336047
222,7,26.3,15,104.0,84.0,5.4,28.0,25.849865591397847,2005-07-01,2005,294753,59062,345632
223,8,13.8,13,58.5,82.9,6.5,28.2,25.900134408602153,2005-08-01,2005,308163,59155,356411
224,9,43.4,18,175.7,84.2,6.2,28.2,25.996111111111112,2005-09-01,2005,299366,56235,329674
225,10,76.2,19,314.5,85.2,5.1,27.6,25.581854838709678,2005-10-01,2005,294557,56724,321195
226,11,133.8,23,362.9,86.4,4.4,27.3,25.43236111111111,2005-11-01,2005,273532,52388,302919
227,12,47.3,19,166.0,85.6,4.5,27.3,25.326478494623654,2005-12-01,2005,284436,53133,321201
228,1,131.7,20,454.4,87.8,4.8,26.5,24.865591397849464,2006-01-01,2006,271747,56313,283681
229,2,44.5,8,115.5,84.0,7.4,27.5,25.37842261904762,2006-02-01,2006,284331,51647,315017
230,3,35.7,9,83.1,81.3,7.1,28.3,25.69220430107527,2006-03-01,2006,328468,55432,343239
231,4,43.3,18,239.8,87.0,5.3,27.6,25.854444444444443,2006-04-01,2006,279846,53997,305709
232,5,36.6,14,205.7,85.2,5.0,28.1,26.103629032258063,2006-05-01,2006,313965,59631,327812
233,6,37.3,16,236.8,86.3,5.5,27.8,25.991527777777776,2006-06-01,2006,309383,59708,332826
234,7,54.8,15,153.8,83.8,6.9,28.4,26.21155913978495,2006-07-01,2006,312956,58833,320271
235,8,30.4,14,127.3,81.9,6.7,28.3,25.85456989247312,2006-08-01,2006,331495,56559,324682
236,9,32.2,12,83.3,81.0,5.3,28.0,25.404861111111114,2006-09-01,2006,305507,54438,311646
237,10,37.8,8,102.0,80.9,4.8,28.3,25.693279569892475,2006-10-01,2006,299003,56834,298582
238,11,64.0,18,185.6,87.4,5.6,27.3,25.550416666666667,2006-11-01,2006,306934,55428,317780
239,12,198.0,22,765.9,88.5,3.2,26.6,25.122177419354838,2006-12-01,2006,281341,57943,288744
240,1,143.8,20,450.1,86.8,4.1,26.5,24.72083333333333,2007-01-01,2007,318377,63297,313231
241,2,51.4,3,105.5,82.5,7.6,27.3,24.870535714285715,2007-02-01,2007,260298,56766,264139
242,3,68.8,21,269.1,84.9,5.8,27.5,25.42043010752688,2007-03-01,2007,320970,62343,342768
243,4,102.4,14,240.2,84.7,5.9,28.1,26.00986111111111,2007-04-01,2007,300481,62644,316714
244,5,21.9,16,127.2,84.8,5.5,28.3,26.221236559139786,2007-05-01,2007,317247,71180,333385
245,6,38.0,12,139.0,82.8,6.0,28.4,26.059583333333332,2007-06-01,2007,308889,62605,319352
246,7,23.0,19,141.7,84.8,3.8,27.7,25.697580645161292,2007-07-01,2007,332671,65641,337752
247,8,55.9,20,190.7,82.9,5.7,27.7,25.4252688172043,2007-08-01,2007,329272,62672,330574
248,9,52.1,13,149.0,83.3,5.8,27.8,25.593194444444446,2007-09-01,2007,291405,61778,310373
249,10,51.8,16,237.2,83.2,5.6,27.8,25.488575268817204,2007-10-01,2007,337069,60965,330063
250,11,60.1,21,367.9,86.5,3.5,26.9,25.105833333333333,2007-11-01,2007,309033,60076,310367
251,12,159.0,20,468.6,86.8,4.5,26.4,24.70430107526882,2007-12-01,2007,262198,62155,289235
252,1,123.1,19,262.6,86.0,6.1,26.8,24.903360215053766,2008-01-01,2008,350410,67321,336558
253,2,48.5,8,129.2,82.9,5.5,26.7,24.42729885057471,2008-02-01,2008,281139,63527,289240
254,3,48.1,16,294.1,87.1,4.3,26.5,24.830510752688173,2008-03-01,2008,306731,67203,332452
255,4,34.2,13,87.2,82.0,6.0,28.1,25.641805555555557,2008-04-01,2008,336843,68584,358290
256,5,42.3,11,124.9,79.1,6.6,28.8,25.849596774193547,2008-05-01,2008,309611,68712,333003
257,6,45.2,12,118.3,81.5,5.6,28.2,25.663333333333334,2008-06-01,2008,312529,62821,318685
258,7,23.5,15,89.1,81.3,4.9,27.8,25.311155913978496,2008-07-01,2008,355209,65874,364699
259,8,133.9,18,327.3,83.8,5.5,27.4,25.284408602150535,2008-08-01,2008,319270,64073,330454
260,9,43.5,18,164.4,82.7,5.1,27.7,25.344722222222224,2008-09-01,2008,326037,61682,342639
261,10,41.6,19,159.5,84.9,4.5,27.6,25.546505376344086,2008-10-01,2008,316541,67233,327070
262,11,63.3,16,324.3,85.9,4.0,27.3,25.379583333333336,2008-11-01,2008,307774,65264,319644
263,12,52.0,17,244.2,83.7,4.8,26.9,24.690591397849463,2008-12-01,2008,305181,66245,318855
264,1,36.0,5,38.3,79.1,6.6,26.8,23.982795698924733,2009-01-01,2009,303100,66243,319605
265,2,74.2,8,201.8,80.7,6.4,27.3,24.64627976190476,2009-02-01,2009,317083,60320,334882
266,3,56.3,19,223.3,85.4,5.5,27.2,25.200000000000003,2009-03-01,2009,347042,68341,365731
267,4,86.6,12,183.7,82.2,6.2,28.5,26.000694444444445,2009-04-01,2009,338884,70535,360636
268,5,41.3,17,198.6,83.0,6.6,28.7,26.366666666666667,2009-05-01,2009,286736,70173,319202
269,6,5.8,8,21.8,79.8,7.0,29.1,26.28166666666667,2009-06-01,2009,334463,68553,325133
270,7,24.4,16,161.0,80.8,6.2,28.3,25.600268817204302,2009-07-01,2009,356774,78644,381094
271,8,35.5,12,177.8,80.7,6.5,28.3,25.643548387096775,2009-08-01,2009,317909,75923,349172
272,9,63.0,13,109.6,82.0,5.6,28.3,25.866111111111113,2009-09-01,2009,323286,65171,340660
273,10,38.4,15,133.4,82.8,5.4,28.2,25.861424731182794,2009-10-01,2009,333860,66656,361582
274,11,61.4,23,281.8,85.6,4.7,27.2,25.274583333333332,2009-11-01,2009,310891,64651,341973
275,12,42.6,18,189.8,86.3,4.7,27.1,25.261693548387097,2009-12-01,2009,316282,66094,358233
276,1,24.5,10,69.5,82.1,7.1,27.5,25.016397849462365,2010-01-01,2010,334327,69746,355032
277,2,2.9,4,6.3,77.3,8.8,28.9,25.641964285714288,2010-02-01,2010,287108,62869,299578
278,3,57.6,11,238.0,79.9,6.1,28.6,25.73198924731183,2010-03-01,2010,365621,69716,391103
279,4,40.0,18,158.5,84.1,6.2,28.6,26.349444444444444,2010-04-01,2010,338582,70991,378763
280,5,90.5,17,157.5,82.2,6.5,29.2,26.713575268817202,2010-05-01,2010,321210,76782,360350
281,6,43.0,19,240.5,83.9,5.1,28.3,26.11875,2010-06-01,2010,338910,69603,355719
282,7,121.1,18,298.5,84.8,4.6,27.7,25.649731182795698,2010-07-01,2010,360736,75461,388814
283,8,60.2,16,158.4,84.2,5.4,27.9,25.741263440860212,2010-08-01,2010,343294,77643,355611
284,9,28.0,13,121.5,82.5,5.7,28.0,25.610833333333336,2010-09-01,2010,331303,71140,349059
285,10,58.1,17,166.2,82.3,4.2,28.3,25.802822580645163,2010-10-01,2010,336728,74968,368734
286,11,41.6,21,278.8,85.9,5.0,27.4,25.448611111111113,2010-11-01,2010,330730,68758,346277
287,12,85.8,14,181.4,85.3,3.6,26.8,24.836290322580645,2010-12-01,2010,335137,71104,365456
288,1,216.2,17,513.2,85.8,4.5,26.3,24.433467741935484,2011-01-01,2011,356540,78287,377860
289,2,17.4,8,23.0,81.1,7.5,27.3,24.691517857142856,2011-02-01,2011,291968,72386,323320
290,3,54.0,22,256.6,85.5,4.6,27.1,25.07231182795699,2011-03-01,2011,383027,78038,405632
291,4,61.8,12,217.8,83.9,7.2,27.9,25.69,2011-04-01,2011,349725,75870,372272
292,5,34.2,15,127.0,85.3,5.9,28.5,26.479166666666664,2011-05-01,2011,341827,80567,356183
293,6,82.0,15,213.0,83.7,5.0,28.4,26.13875,2011-06-01,2011,365917,75704,375767
294,7,30.0,7,76.6,81.3,7.8,28.7,26.11048387096774,2011-07-01,2011,369860,79868,385809
295,8,30.2,13,81.4,82.6,6.1,27.9,25.56048387096774,2011-08-01,2011,361968,76087,364597
296,9,40.4,14,136.4,82.7,5.1,27.8,25.50986111111111,2011-09-01,2011,371623,76610,391813
297,10,54.0,20,216.8,87.4,5.3,27.3,25.508198924731186,2011-10-01,2011,342482,82236,380688
298,11,78.6,24,377.8,87.8,4.6,27.1,25.45347222222222,2011-11-01,2011,361178,79388,380195
299,12,87.4,21,284.6,88.4,3.3,26.6,25.062634408602147,2011-12-01,2011,338024,79444,387907
300,1,26.2,16,106.1,87.3,6.0,26.7,25.00793010752688,2012-01-01,2012,339387,85885,351582
301,2,38.4,11,83.6,85.6,7.0,27.2,25.257183908045977,2012-02-01,2012,368675,80008,390167
302,3,92.3,21,313.4,87.3,4.2,27.0,25.31424731182796,2012-03-01,2012,383300,83149,411277
303,4,48.4,20,260.6,85.1,5.8,27.6,25.57111111111111,2012-04-01,2012,353345,82972,377229
304,5,79.2,19,292.0,83.1,5.6,28.2,25.84247311827957,2012-05-01,2012,379056,85167,398658
305,6,38.2,8,53.0,79.0,6.0,28.7,25.799305555555556,2012-06-01,2012,357073,77964,381201
306,7,35.4,17,130.8,81.1,6.2,27.7,25.18494623655914,2012-07-01,2012,392755,83852,408890
307,8,31.0,12,119.0,79.8,6.1,27.9,25.20201612903226,2012-08-01,2012,369311,79335,380258
308,9,35.8,10,107.6,79.7,5.6,27.9,25.150555555555556,2012-09-01,2012,344733,80201,371726
309,10,22.6,13,122.2,81.3,5.9,27.7,25.155779569892474,2012-10-01,2012,383690,83611,401835
310,11,49.2,22,208.2,85.4,4.4,27.1,25.138472222222223,2012-11-01,2012,366564,79286,379299
311,12,78.8,22,363.4,87.0,3.6,26.7,24.978494623655916,2012-12-01,2012,315496,83859,361916
312,1,73.0,15,262.0,82.1,6.0,27.1,24.628494623655914,2013-01-01,2013,404973,88630,418646
313,2,95.2,22,395.2,86.9,4.0,26.5,24.792857142857144,2013-02-01,2013,318045,79359,323128
314,3,29.6,10,85.8,80.4,7.5,28.3,25.549731182795696,2013-03-01,2013,363039,86940,379362
315,4,41.6,19,159.4,82.7,5.2,28.2,25.81625,2013-04-01,2013,397003,84560,403893
316,5,46.2,17,211.4,83.1,5.4,28.2,25.848387096774193,2013-05-01,2013,380860,87961,393171
317,6,22.4,12,111.4,74.6,6.4,29.0,25.30388888888889,2013-06-01,2013,343011,85095,365625
318,7,37.4,15,174.6,79.9,5.7,27.8,25.041935483870965,2013-07-01,2013,406349,82318,417848
319,8,43.2,15,165.6,79.0,6.1,27.9,25.04422043010753,2013-08-01,2013,364591,82464,384543
320,9,52.6,19,257.0,81.3,4.6,27.5,25.01291666666667,2013-09-01,2013,364398,81096,379066
321,10,139.8,19,285.4,79.9,6.3,27.7,24.95766129032258,2013-10-01,2013,387258,84025,401660
322,11,44.0,22,292.4,84.6,4.5,27.1,25.066666666666666,2013-11-01,2013,367696,80234,382510
323,12,119.8,21,348.2,85.8,3.5,26.5,24.609139784946237,2013-12-01,2013,339398,84118,374171
324,1,31.2,5,75.4,78.5,5.3,26.2,23.391129032258064,2014-01-01,2014,376933,84647,383633
325,2,0.2,1,0.2,74.5,8.8,27.2,23.708333333333336,2014-02-01,2014,361161,75725,365321
326,3,52.6,6,66.0,76.0,8.0,27.9,24.544623655913977,2014-03-01,2014,378761,80301,394255
327,4,28.8,17,110.0,80.0,5.7,28.2,25.461805555555554,2014-04-01,2014,387205,79418,390044
328,5,22.2,18,125.8,80.2,5.8,28.6,25.811424731182797,2014-05-01,2014,367804,86058,391893
329,6,18.8,11,71.4,77.5,6.0,29.0,25.880972222222223,2014-06-01,2014,369546,85017,382967
330,7,29.0,15,148.6,78.3,5.5,28.7,25.704704301075267,2014-07-01,2014,401570,86028,402717
331,8,44.2,20,241.0,79.7,4.5,27.7,24.933198924731183,2014-08-01,2014,377812,83610,391312
332,9,34.6,9,83.6,75.6,7.0,28.5,25.079583333333336,2014-09-01,2014,393154,79164,401230
333,10,32.8,10,120.0,77.0,6.0,28.4,25.170295698924733,2014-10-01,2014,383294,77547,382766
334,11,64.4,23,250.8,82.4,5.4,27.5,25.094722222222224,2014-11-01,2014,368520,73271,374831
335,12,48.2,17,245.6,82.6,3.7,27.0,24.71545698924731,2014-12-01,2014,365090,77585,387405
336,1,33.6,6,79.6,77.6,7.4,26.9,23.8377688172043,2015-01-01,2015,411376,83405,419470
337,2,10.8,6,18.8,75.4,7.3,27.0,23.633035714285715,2015-02-01,2015,330568,73842,342720
338,3,46.0,5,84.4,75.8,7.3,28.2,24.765860215053763,2015-03-01,2015,417597,81518,426242
339,4,18.8,13,73.2,77.1,7.2,28.6,25.373055555555553,2015-04-01,2015,404565,80262,410379
340,5,22.2,12,89.0,78.9,5.8,28.7,25.795564516129033,2015-05-01,2015,384116,86075,411033
341,6,28.4,10,95.8,75.8,6.7,29.0,25.58625,2015-06-01,2015,385033,83377,404895
342,7,45.8,13,116.8,74.9,7.1,29.1,25.54422043010753,2015-07-01,2015,423464,80360,421428
343,8,63.2,11,185.8,76.7,6.1,28.4,25.177553763440862,2015-08-01,2015,377630,82665,395185
344,9,18.4,8,61.6,75.0,4.3,28.7,25.183611111111112,2015-09-01,2015,387870,75508,397460
345,10,28.6,9,87.2,75.4,4.7,28.7,25.2127688172043,2015-10-01,2015,415116,78941,429056
346,11,25.8,13,72.6,79.1,4.8,28.0,25.090416666666666,2015-11-01,2015,378057,77552,397986
347,12,40.4,19,302.3,81.1,5.3,27.7,25.13037634408602,2015-12-01,2015,384194,81921,418843
348,1,39.6,15,126.6,79.6,7.2,28.3,25.47258064516129,2016-01-01,2016,406426,89522,424430
349,2,71.8,10,186.0,78.8,6.5,27.8,24.938505747126438,2016-02-01,2016,369372,85822,399914
350,3,2.4,6,6.2,74.7,8.0,29.0,25.404569892473116,2016-03-01,2016,438412,87290,461900
351,4,18.2,14,89.8,75.6,7.0,29.4,25.94527777777778,2016-04-01,2016,417248,80777,442411
352,5,54.8,12,193.8,77.4,6.2,29.3,26.075806451612905,2016-05-01,2016,415697,85931,434117
353,6,67.8,13,162.8,77.7,5.4,28.5,25.41916666666667,2016-06-01,2016,420403,80906,442582
354,7,59.4,20,168.6,77.3,6.3,28.4,25.25954301075269,2016-07-01,2016,394274,87482,443474
355,8,30.6,15,139.2,74.0,6.7,28.9,25.236155913978493,2016-08-01,2016,442534,87475,468604
356,9,34.0,15,118.9,73.9,5.5,28.3,24.61013888888889,2016-09-01,2016,410259,81809,430934
357,10,75.4,16,181.0,72.0,4.6,28.3,24.35282258064516,2016-10-01,2016,414329,82339,428708
358,11,65.6,20,290.2,77.6,3.5,27.4,24.353194444444444,2016-11-01,2016,434280,79320,451631
359,12,73.0,23,292.6,72.8,5.1,27.4,23.570833333333333,2016-12-01,2016,391268,80045,435294
360,1,60.6,21,197.6,84.8,4.8,26.9,24.893010752688173,2017-01-01,2017,388260,85325,438835
361,2,31.0,15,158.4,83.2,7.1,26.9,24.679464285714285,2017-02-01,2017,400818,79354,478108
362,3,30.2,11,136.2,82.5,6.1,27.4,24.988440860215054,2017-03-01,2017,449486,87191,536613
363,4,42.8,21,208.6,83.5,5.3,27.8,25.546388888888888,2017-04-01,2017,389625,84124,472734
364,5,44.8,15,190.0,82.8,5.9,28.5,26.114650537634407,2017-05-01,2017,429839,90987,517837
365,6,29.6,10,106.0,80.2,6.3,28.5,25.758472222222224,2017-06-01,2017,406009,81552,478843
366,7,30.2,9,79.6,79.6,7.0,28.3,25.505779569892475,2017-07-01,2017,426819,84964,507901
367,8,29.4,18,84.2,79.9,6.1,28.1,25.390591397849462,2017-08-01,2017,449400,81977,522699
368,9,20.2,19,124.4,81.0,5.7,28.0,25.380555555555553,2017-09-01,2017,398141,77268,482951
369,10,31.2,18,120.8,82.5,5.5,27.9,25.47970430107527,2017-10-01,2017,419176,82793,501308
370,11,45.2,24,268.6,86.3,4.2,27.1,25.23,2017-11-01,2017,439655,78327,509702
371,12,69.8,23,371.2,85.2,5.6,27.0,25.010080645161292,2017-12-01,2017,376515,79596,478256
372,1,45.8,25,287.0,86.6,4.1,26.1,24.345430107526884,2018-01-01,2018,461966,88237,549125
373,2,13.0,5,14.8,77.2,8.0,27.2,24.058630952380952,2018-02-01,2018,372175,77749,452081
374,3,15.2,10,44.6,78.4,6.4,28.0,24.96532258064516,2018-03-01,2018,430707,83943,534902
375,4,14.0,14,61.2,78.5,6.8,28.5,25.470000000000002,2018-04-01,2018,435136,81997,529243
376,5,47.4,19,132.2,79.0,5.8,28.7,25.72244623655914,2018-05-01,2018,437221,84834,534867
377,6,46.8,17,182.6,79.3,4.1,28.4,25.57097222222222,2018-06-01,2018,400151,78521,492052
378,7,32.4,10,143.2,77.7,6.1,28.5,25.40309139784946,2018-07-01,2018,454152,86044,561882
379,8,34.6,11,121.6,77.0,6.7,28.5,25.324596774193548,2018-08-01,2018,440044,82519,536760
380,9,45.0,13,144.4,77.1,6.0,28.0,24.81625,2018-09-01,2018,405620,79829,509057
381,10,60.6,18,234.4,79.7,6.1,27.9,25.083870967741937,2018-10-01,2018,469400,85043,570757
382,11,20.6,27,169.6,83.2,3.8,27.3,25.046388888888888,2018-11-01,2018,427439,85384,539107
383,12,43.8,19,172.6,81.5,5.1,27.6,25.065322580645162,2018-12-01,2018,372077,91303,513981
384,1,38.2,9,63.6,75.6,7.1,28.0,24.60537634408602,2019-01-01,2019,484944,90869,578689
385,2,13.4,5,31.6,74.1,9.2,28.2,24.58169642857143,2019-02-01,2019,369739,82072,464045
386,3,29.0,6,72.2,72.3,8.3,28.7,24.737499999999997,2019-03-01,2019,438677,89670,558840
387,4,52.4,9,174.8,77.6,5.9,28.6,25.50277777777778,2019-04-01,2019,457373,88534,578277
388,5,17.2,13,69.0,79.2,7.0,29.3,26.34193548387097,2019-05-01,2019,454249,92618,594199
389,6,37.6,16,173.8,79.5,5.3,28.4,25.612777777777776,2019-06-01,2019,389316,89350,528547
390,7,6.6,8,12.2,75.2,7.5,29.0,25.546505376344086,2019-07-01,2019,501648,98385,627174
391,8,3.8,6,11.8,72.1,7.6,29.1,25.14758064516129,2019-08-01,2019,439911,90698,552486
392,9,16.4,4,22.8,73.0,6.7,29.0,25.176666666666666,2019-09-01,2019,436987,85040,536578
393,10,92.2,15,176.8,78.1,6.5,28.1,25.083064516129035,2019-10-01,2019,464595,88928,571812
394,11,73.4,15,137.4,79.2,5.5,28.0,25.128194444444443,2019-11-01,2019,445401,88720,564421
395,12,74.2,14,421.5,83.9,4.8,26.7,24.581317204301076,2019-12-01,2019,403128,96098,536227
396,1,38.0,6,88.4,77.9,7.1,27.7,24.690725806451614,2020-01-01,2020,436025,98611,551852
397,2,23.8,8,65.0,76.0,8.3,27.9,24.5433908045977,2020-02-01,2020,306789,79237,490437
398,3,47.4,8,108.8,75.2,7.6,28.6,25.12258064516129,2020-03-01,2020,332189,88247,500678
399,4,51.8,12,188.0,76.4,7.1,28.9,25.50972222222222,2020-04-01,2020,221367,69889,373236
400,5,53.8,16,255.6,79.1,5.7,28.9,26.024059139784946,2020-05-01,2020,187756,63029,372042
401,6,41.0,21,233.8,80.2,4.3,28.1,25.440416666666668,2020-06-01,2020,324034,67607,505714
402,7,30.4,22,140.8,78.2,5.7,27.9,25.021639784946238,2020-07-01,2020,413647,72664,547490
403,8,34.6,12,103.4,76.8,6.4,28.3,25.113844086021505,2020-08-01,2020,417996,74155,529573
404,9,32.8,18,150.2,79.0,4.8,27.5,24.719305555555554,2020-09-01,2020,461158,71255,543203
405,10,19.0,16,78.8,75.4,4.3,28.3,24.916263440860217,2020-10-01,2020,469204,73306,548857
406,11,64.2,19,220.6,81.7,4.0,27.2,24.803055555555556,2020-11-01,2020,457700,71001,500266
407,12,58.2,20,253.2,81.1,5.2,27.2,24.651612903225807,2020-12-01,2020,450783,74360,529328
408,1,210.6,17,692.8,82.6,4.2,26.0,23.733333333333334,2021-01-01,2021,459379,76872,531038
409,2,0.6,2,1.0,73.8,8.2,27.3,23.745386904761904,2021-02-01,2021,403217,72275,465781
410,3,38.0,14,182.4,76.6,7.3,27.9,24.68938172043011,2021-03-01,2021,513912,82783,581035
411,4,83.8,14,290.4,77.4,6.8,28.2,25.1225,2021-04-01,2021,463916,82267,527487
412,5,49.8,13,245.8,79.3,6.0,28.7,25.861424731182794,2021-05-01,2021,320632,69157,427460
413,6,23.8,20,93.4,77.8,6.5,28.5,25.489305555555557,2021-06-01,2021,417150,66857,515889
414,7,75.0,12,195.8,76.5,6.8,28.6,25.369220430107525,2021-07-01,2021,456655,79021,537257
415,8,71.4,24,293.6,80.4,4.8,27.6,24.963172043010754,2021-08-01,2021,461350,75757,522139
416,9,63.4,14,205.4,77.3,6.4,28.3,25.195833333333333,2021-09-01,2021,449154,72225,526768
417,10,59.6,14,177.0,78.3,6.2,28.5,25.493682795698923,2021-10-01,2021,402821,71558,498174
418,11,47.8,23,312.4,81.7,4.9,27.6,25.111944444444443,2021-11-01,2021,433965,71275,519148
419,12,46.8,15,119.6,79.7,5.4,27.7,24.956048387096775,2021-12-01,2021,436375,70106,548534
420,1,50.0,9,99.8,77.4,8.3,27.4,24.380913978494622,2022-01-01,2022,455622,80629,527577
421,2,29.6,16,175.0,80.3,5.9,27.3,24.64985119047619,2022-02-01,2022,369299,80685,477279
422,3,36.2,21,163.2,79.2,6.4,28.1,25.253225806451614,2022-03-01,2022,450249,79841,573038
423,4,58.8,18,239.6,80.0,5.2,28.1,25.37541666666667,2022-04-01,2022,438545,75128,520553
424,5,44.6,12,102.0,76.5,6.7,29.2,25.881317204301077,2022-05-01,2022,418686,89962,516978
425,6,59.4,17,211.8,79.1,4.7,27.9,25.118055555555554,2022-06-01,2022,454293,87121,574439
426,7,27.8,16,145.2,76.8,6.2,28.6,25.439112903225805,2022-07-01,2022,432363,96609,553484
427,8,32.4,15,141.4,77.4,5.5,28.1,25.07231182795699,2022-08-01,2022,452536,89627,587814
